@Relation data

@Attribute id REAL
@Attribute spending REAL
@Attribute purchases REAL

@Data
1,15339.51,140
2,29838.93,245
3,75731.31,987
4,28948.22,430
5,487.91,50
6,2588.1,13
7,13897.33,832
8,160.75,13
9,26833.8,688
10,3210.9,177
11,12228.28,452
12,23452.01,401
13,455,51
14,6048.21,139
15,11338.27,284
16,20095.71,433
17,10790.27,462
18,17942.64,231
19,2411.53,41
20,14097.97,212
21,624.15,36
22,16994.17,561
23,12928.25,512
24,9851.97,186
25,4654.01,80
26,7593.6,98
27,11635.47,369
28,21714.72,453
29,201.7,11
30,11254.05,260
31,4239.19,217
32,11229.79,402
33,51534.39,386
34,8401.5,178
35,16285.73,177
36,14422.54,313
37,22769.85,485
38,12479.92,301
39,3499.15,88
40,16650.18,252
41,13887.31,403
42,21634.95,395
43,5407.13,173
44,46076.51,432
45,6733.16,248
46,4309.22,58
47,8375.8,208
48,15692.67,311
49,19108.8,233
50,224.68,9
51,31761.21,381
52,18557.52,335
53,1048.28,144
54,4083.06,123
55,27752.67,364
56,15771.25,433
57,17233.79,218
58,9230.15999,556
59,3041.38,34
60,9880.64,176
61,19171.03,286
62,19797.71,442
63,20950.13,383
64,44826.33,393
65,16055.76,224
66,10387.66,390
67,12307.45,421
68,15191.51,154
69,8952.94,246
70,11033.85,379
71,3709.71,118
72,19535.38,397
73,15203.42,687
74,60149.45,423
75,12629.42,463
76,1407.7,97
77,38021.56,360
78,9182.55,219
79,11524.46,151
80,26497.08,153
81,25188.17,404
82,29690.44,384
83,17980.56,364
84,3495.69,197
85,80624.5,471
86,6994.74,164
87,35679.47,560
88,28856.7,547
89,12218.22,311
90,289.95,7
91,6266.01,94
92,29004.6,122
93,2.06,1
94,10162.1,149
95,16527.18,308
96,21757.48,565
97,1626.66,69
98,7131.1,206
99,14264.7,197
100,32204.73,492
101,44949.51,480
102,93830.06,603
103,11433.54,208
104,9104.88,238
105,3043.68,157
106,9540.34,265
107,3829.67,139
108,22758.59,440
109,3357.26,80
110,11981.61,605
111,51159.81,937
112,16397.98,475
113,2961.5,55
114,26309.98,416
115,5431.08,167
116,8189.61,112
117,10188.15,224
118,79678.26,2280
119,25638.46,239
120,5255.88,262
121,30558.32,530
122,97145.23,609
123,14468.02,375
124,36826.36,252
125,6251.18,12
126,10015.18,206
127,22294.07,317
128,10120.23,137
129,26342.76,608
130,1650.45,66
131,32861.04,488
132,22251.97,268
133,6233.99,145
134,1020.54,86
135,5421.4,230
136,4209.12,64
137,66.27,4
138,20381.88,167
139,11790.59,187
140,21004.62,320
141,20463.17,375
142,18808.81,379
143,5603.9,126
144,10354.63,293
145,21524.43,884
146,17778.99,260
147,6380.42,197
148,13042.05,388
149,8287.6,258
150,168989.99,279
151,4834.47,227
152,7943.67,219
153,20327.48,413
154,8258,258
155,105362.52,762
156,45146.95,849
157,40645.39,392
158,9914.13,171
159,2620.52,59
160,6884.33,45
161,5780.84,66
162,1612.16,56
163,40426.48,319
164,19857.69,139
165,25679.79,244
166,2052.53,26
167,46851.28,1128
168,22099.96,303
169,36895.25,444
170,13706.52,226
171,7285.51,92
172,85.49,3
173,22978.77,468
174,1703.51,66
175,8852.09,160
176,1882.08,152
177,8480.04,39
178,5103.48,45
179,139,3
180,10159.61,288
181,6153.43,207
182,4451.18,52
183,19959.64,264
184,15704.45,390
185,532.06,2
186,18919.34,487
187,923.24,30
188,26349.87,335
189,5030.11,121
190,12521.39,306
191,17707.6,137
192,27907.53,220
193,5287.91,146
194,17662.82,214
195,37604.48,477
196,996.49,27
197,495.46,44
198,15057.57,95
199,20425.12,449
200,806.29,14
201,177.78,7
202,22174.6,316
203,1994.36,197
204,63901.68,624
205,16821.21,381
206,25476.36,395
207,7122.18,163
208,27225.12,297
209,1925.87,55
210,19820.85,380
211,32657.7,811
212,11811.21,178
213,13335.65,269
214,10316.03,79
215,14423.16,297
216,82112.65,289
217,5250.44,164
218,5525.88,61
219,397.06,24
220,243.25,1
221,8300.07,111
222,35463.51,766
223,4960.12,134
224,109285.87,757
225,1316.8,91
226,16756.48,233
227,5008.65,260
228,4545.16,48
229,28402.96,380
230,31764.51,232
231,90516.32001,1381
232,4229.45,99
233,725.41,21
234,26712,431
235,13180.69,491
236,12486.85,125
237,1444.49,27
238,7388.6,30
239,6106.87,191
240,87404.9601,1484
241,17117.1,491
242,45.6,12
243,2798.69,74
244,56106.42,193
245,7491.19,361
246,6514.87,107
247,16662.64,176
248,21927.11,322
249,11324.54,113
250,18738.3,287
251,8643.49,141
252,6720.75,166
253,14520.28,288
254,9053.39,276
255,16640.4,396
256,28594.58,429
257,12436.65,267
258,3121.96,147
259,52736.23,563
260,2300.58,68
261,5835.41,224
262,98742.66,903
263,20844.02,258
264,11315.05,75
265,3200.83,36
266,13808.12,205
267,798.98,32
268,6922.53,46
269,7716.4,209
270,8120.38,225
271,14541.98,235
272,1469.49,57
273,109873.16,550
274,10443.76,464
275,15537.38,248
276,8701.98,305
277,4734.82,116
278,10916.38,293
279,21697.18,87
280,48215.11,801
281,635.89,27
282,707.64,7
283,22700.23,630
284,5018.98,117
285,44607.39,626
286,14222.3,133
287,31474.38,242
288,2089.83,43
289,46374.15,462
290,9367.71,73
291,1483.37,103
292,10107.7,200
293,21.04,3
294,12140.65,288
295,141150.63,326
296,29067.95,365
297,5050.79,103
298,19164.07,500
299,8897.84,293
300,2070.44,92
301,21748.94,275
302,61725.71,718
303,12768.6,80
304,8811.28,217
305,16885.14,258
306,9666.74,166
307,43267.73,604
308,119203.96,503
309,7485.9,289
310,22856.34,420
311,4561.6,173
312,63593.91,151
313,11249.6,380
314,11935.24,266
315,2972.58,51
316,3169.86,87
317,7966.51,129
318,4005.59,98
319,93.38,1
320,5322.21,269
321,56284.59,52
322,100183.39,121
323,1476.62,13
324,62373.28,1107
325,11718.19,42
326,19759.94,518
327,8507.72,171
328,129670.53,356
329,14844.73,232
330,9348.9,105
331,79537.68,441
332,29676.79,339
333,7506.99,295
334,25112.49,484
335,2631.56,82
336,8261.02,232
337,9265.38,198
338,2855.98,58
339,9579.96,257
340,2571.19,47
341,5024.57,121
342,18508.89,449
343,20095,368
344,27071.09,423
345,135806.98,681
346,19205,62
347,11007.53,461
348,2388,105
349,4922.45,121
350,10353.3,227
351,5907.92,136
352,6360.73,252
353,202.08,7
354,19525.22,332
355,35241.56,280
356,1789.68,88
357,73363.88,645
358,26944.7,397
359,24585.29,395
360,34057.08,98
361,27030.04,631
362,52565.63,731
363,6652.6,245
364,42606.06,572
365,9386.74,229
366,1213.48,42
367,8121.809,343
368,3090.46,27
369,4445.69,124
370,10497.04,535
371,15021.68,321
372,15144.91,212
373,8662.28,194
374,6539.27,160
375,19085.44,257
376,34687.28,647
377,7055.98,160
378,36785.62,311
379,34664.41,630
380,23638.33,49
381,3109.55,64
382,1453.65,63
383,13791,434
384,14737.42,350
385,26600.7,524
386,48024.55,721
387,38055.14,420
388,22133.05,661
389,19671.69,478
390,24906.39,342
391,35844.71,773
392,41270.6,66
393,2443.57,19
394,11173.7,256
395,22963.56,402
396,7410.95,268
397,7028.83,184
398,1676.11,48
399,20924.8,360
400,26263.86,633
401,228.63,18
402,6309.96,48
403,14494.14,400
404,32130.32,168
405,8995.3,431
406,21612.73,454
407,24670.52,384
408,11238.36,226
409,2930.34,160
410,2318.09,103
411,35661.9,142
412,94234.311,969
413,29949.12,395
414,23815.09,108
415,2741.01,212
416,8791.24,249
