@Relation data

@Attribute spending REAL
@Attribute purchases REAL

@Data
15339.51,140
29838.93,245
75731.31,987
28948.22,430
487.91,50
2588.1,13
13897.33,832
160.75,13
26833.8,688
3210.9,177
12228.28,452
23452.01,401
455,51
6048.21,139
11338.27,284
20095.71,433
10790.27,462
17942.64,231
2411.53,41
14097.97,212
624.15,36
16994.17,561
12928.25,512
9851.97,186
4654.01,80
7593.6,98
11635.47,369
21714.72,453
201.7,11
11254.05,260
4239.19,217
11229.79,402
51534.39,386
8401.5,178
16285.73,177
14422.54,313
22769.85,485
12479.92,301
3499.15,88
16650.18,252
13887.31,403
21634.95,395
5407.13,173
46076.51,432
6733.16,248
4309.22,58
8375.8,208
15692.67,311
19108.8,233
224.68,9
31761.21,381
18557.52,335
1048.28,144
4083.06,123
27752.67,364
15771.25,433
17233.79,218
9230.15999,556
3041.38,34
9880.64,176
19171.03,286
19797.71,442
20950.13,383
44826.33,393
16055.76,224
10387.66,390
12307.45,421
15191.51,154
8952.94,246
11033.85,379
3709.71,118
19535.38,397
15203.42,687
60149.45,423
12629.42,463
1407.7,97
38021.56,360
9182.55,219
11524.46,151
26497.08,153
25188.17,404
29690.44,384
17980.56,364
3495.69,197
80624.5,471
6994.74,164
35679.47,560
28856.7,547
12218.22,311
289.95,7
6266.01,94
29004.6,122
2.06,1
10162.1,149
16527.18,308
21757.48,565
1626.66,69
7131.1,206
14264.7,197
32204.73,492
44949.51,480
93830.06,603
11433.54,208
9104.88,238
3043.68,157
9540.34,265
3829.67,139
22758.59,440
3357.26,80
11981.61,605
51159.81,937
16397.98,475
2961.5,55
26309.98,416
5431.08,167
8189.61,112
10188.15,224
79678.26,2280
25638.46,239
5255.88,262
30558.32,530
97145.23,609
14468.02,375
36826.36,252
6251.18,12
10015.18,206
22294.07,317
10120.23,137
26342.76,608
1650.45,66
32861.04,488
22251.97,268
6233.99,145
1020.54,86
5421.4,230
4209.12,64
66.27,4
20381.88,167
11790.59,187
21004.62,320
20463.17,375
18808.81,379
5603.9,126
10354.63,293
21524.43,884
17778.99,260
6380.42,197
13042.05,388
8287.6,258
168989.99,279
4834.47,227
7943.67,219
20327.48,413
8258,258
105362.52,762
45146.95,849
40645.39,392
9914.13,171
2620.52,59
6884.33,45
5780.84,66
1612.16,56
40426.48,319
19857.69,139
25679.79,244
2052.53,26
46851.28,1128
22099.96,303
36895.25,444
13706.52,226
7285.51,92
85.49,3
22978.77,468
1703.51,66
8852.09,160
1882.08,152
8480.04,39
5103.48,45
139,3
10159.61,288
6153.43,207
4451.18,52
19959.64,264
15704.45,390
532.06,2
18919.34,487
923.24,30
26349.87,335
5030.11,121
12521.39,306
17707.6,137
27907.53,220
5287.91,146
17662.82,214
37604.48,477
996.49,27
495.46,44
15057.57,95
20425.12,449
806.29,14
177.78,7
22174.6,316
1994.36,197
63901.68,624
16821.21,381
25476.36,395
7122.18,163
27225.12,297
1925.87,55
19820.85,380
32657.7,811
11811.21,178
13335.65,269
10316.03,79
14423.16,297
82112.65,289
5250.44,164
5525.88,61
397.06,24
243.25,1
8300.07,111
35463.51,766
4960.12,134
109285.87,757
1316.8,91
16756.48,233
5008.65,260
4545.16,48
28402.96,380
31764.51,232
90516.32001,1381
4229.45,99
725.41,21
26712,431
13180.69,491
12486.85,125
1444.49,27
7388.6,30
6106.87,191
87404.9601,1484
17117.1,491
45.6,12
2798.69,74
56106.42,193
7491.19,361
6514.87,107
16662.64,176
21927.11,322
11324.54,113
18738.3,287
8643.49,141
6720.75,166
14520.28,288
9053.39,276
16640.4,396
28594.58,429
12436.65,267
3121.96,147
52736.23,563
2300.58,68
5835.41,224
98742.66,903
20844.02,258
11315.05,75
3200.83,36
13808.12,205
798.98,32
6922.53,46
7716.4,209
8120.38,225
14541.98,235
1469.49,57
109873.16,550
10443.76,464
15537.38,248
8701.98,305
4734.82,116
10916.38,293
21697.18,87
48215.11,801
635.89,27
707.64,7
22700.23,630
5018.98,117
44607.39,626
14222.3,133
31474.38,242
2089.83,43
46374.15,462
9367.71,73
1483.37,103
10107.7,200
21.04,3
12140.65,288
141150.63,326
29067.95,365
5050.79,103
19164.07,500
8897.84,293
2070.44,92
21748.94,275
61725.71,718
12768.6,80
8811.28,217
16885.14,258
9666.74,166
43267.73,604
119203.96,503
7485.9,289
22856.34,420
4561.6,173
63593.91,151
11249.6,380
11935.24,266
2972.58,51
3169.86,87
7966.51,129
4005.59,98
93.38,1
5322.21,269
56284.59,52
100183.39,121
1476.62,13
62373.28,1107
11718.19,42
19759.94,518
8507.72,171
129670.53,356
14844.73,232
9348.9,105
79537.68,441
29676.79,339
7506.99,295
25112.49,484
2631.56,82
8261.02,232
9265.38,198
2855.98,58
9579.96,257
2571.19,47
5024.57,121
18508.89,449
20095,368
27071.09,423
135806.98,681
19205,62
11007.53,461
2388,105
4922.45,121
10353.3,227
5907.92,136
6360.73,252
202.08,7
19525.22,332
35241.56,280
1789.68,88
73363.88,645
26944.7,397
24585.29,395
34057.08,98
27030.04,631
52565.63,731
6652.6,245
42606.06,572
9386.74,229
1213.48,42
8121.809,343
3090.46,27
4445.69,124
10497.04,535
15021.68,321
15144.91,212
8662.28,194
6539.27,160
19085.44,257
34687.28,647
7055.98,160
36785.62,311
34664.41,630
23638.33,49
3109.55,64
1453.65,63
13791,434
14737.42,350
26600.7,524
48024.55,721
38055.14,420
22133.05,661
19671.69,478
24906.39,342
35844.71,773
41270.6,66
2443.57,19
11173.7,256
22963.56,402
7410.95,268
7028.83,184
1676.11,48
20924.8,360
26263.86,633
228.63,18
6309.96,48
14494.14,400
32130.32,168
8995.3,431
21612.73,454
24670.52,384
11238.36,226
2930.34,160
2318.09,103
35661.9,142
94234.311,969
29949.12,395
23815.09,108
2741.01,212
8791.24,249
